"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"03","56336","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M","3:10 PM - 6:00 PM","Ho, Vivian","HH 17","15","20","In-Person",
"01","56334","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","10:45 AM - 12:00 PM","Milo, Michael","KY 419","21","20","In-Person",
"02","56335","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","3:10 PM - 4:25 PM","Milo, Michael","KY 419","16","20","In-Person",
"03","58192","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W","10:05 AM - 11:55 AM","Erlach, David","SB B145","45","45","In-Person",
"04","58193","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","3:00 PM - 4:40 PM","Ruthizer, Scott","PH 130","58","58","In-Person",
"05","58194","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","5:00 PM - 6:40 PM","Erlach, David","RO 230","57","57","In-Person",
"06","58195","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","RA 201","51","51","In-Person",
"07","58196","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","10:05 AM - 11:55 AM","Solarsh, Eva","RA 214","42","42","In-Person",
"08","58197","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","6:55 PM - 8:45 PM","Ruthizer, Scott","PH 116","46","46","In-Person",
"03","58192","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","F","10:05 AM - 11:55 AM","Erlach, David","PH 114","45","45","In-Person",
"02","58191","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W, F","8:00 AM - 9:50 AM","Gruza, Marvin","RA 201","26","41","In-Person",
"01","58190","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","PH 130","57","58","In-Person",
"09","58198","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","8:50 PM - 10:30 PM","Zapf, Michael","PH 110","28","44","In-Person",
"12","58201","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","SU","8:20 AM - 12:00 PM","Mintz, Chana","PH 204","29","46","In-Person",
"11","58200","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","S","8:20 AM - 12:00 PM","Chan, Joseph","PH 116","46","46","In-Person",
"10","58199","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","F","6:30 PM - 10:30 PM","Solarsh, Eva","PH 212","32","32","Hybrid",
