"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","52656","AACS 107 (3, 3)","Immigrant Communities Queens","M, W","10:45 AM - 12:00 PM","Khandelwal, Madhulika"," ","9","10","Online",
"1","47980","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M","3:10 PM - 6:00 PM","Ho, Vivian","OL ONLINE","21","25","Online",
"03","45516","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","10:05 AM - 11:55 AM","Ruthizer, Scott","OL ONLINE","47","52","Online",
"04","45517","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","3:00 PM - 4:50 PM","Feisullin, Anita","OL ONLINE","47","52","Online",
"06","45519","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","5:00 PM - 6:50 PM","Ruthizer, Scott","OL ONLINE","46","52","Online",
"07","45520","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","1:40 PM - 3:30 PM","Cowan Dockery, Marlene","OL ONLINE","47","52","Online",
"08","45521","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","8:00 AM - 9:50 AM","Solarsh, Eva","OL ONLINE","46","52","Online",
"09","45522","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","TH","6:30 PM - 10:20 PM","Huang, Qianyun (Ivy)","OL ONLINE","29","52","Online",
"10","45523","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","F","6:30 PM - 10:20 PM","Solarsh, Eva","OL ONLINE","35","52","Online",
"11","45524","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","S","8:20 AM - 12:00 PM","Chan, Joseph","OL ONLINE","46","52","Online",
"01","45514","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","OL ONLINE","42","52","Online",
"02","45515","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","10:05 AM - 11:55 AM","Gruza, Marvin","OL ONLINE","40","52","Online",
"02","45538","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","M, W","3:00 PM - 4:50 PM","Ruthizer, Scott","OL ONLINE","50","57","Online",
"03","45539","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","10:05 AM - 11:55 AM","Feisullin, Anita","OL ONLINE","50","57","Online",
"04","45540","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","OL ONLINE","52","57","Online",
"05","45541","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","5:00 PM - 6:40 PM","David, Amy","OL ONLINE","42","57","Online",
"06","45542","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","M, W","6:55 PM - 8:45 PM","Ruthizer, Scott","OL ONLINE","51","57","Online",
"08","45544","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","S","1:30 PM - 5:00 PM","Luo, Cheng","OL ONLINE","20","57","Online",
"01","45537","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","8:00 AM - 9:50 AM","Gruza, Marvin","OL ONLINE","24","57","Online",
"03","45552","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","2:15 PM - 4:05 PM","Sun, Tao","OL ONLINE","41","44","Online",
"02","45551","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","12:10 PM - 2:00 PM","Weiss, Renee","OL ONLINE","37","37","Online",
"01","45550","ACCT 201 (4, 4)","Intermediate Accounting l","M, W","8:40 AM - 10:30 AM","Hornung, David","OL ONLINE","44","44","Online",
"04","45553","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","5:00 PM - 6:40 PM","Sun, Tao","OL ONLINE","39","44","Online",
"07","45555","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","6:50 PM - 8:40 PM","Zapf, Michael","OL ONLINE","44","44","Online",
"08","45556","ACCT 201 (4, 4)","Intermediate Accounting l","SU","8:20 AM - 12:00 PM","Cowan Dockery, Marlene","OL ONLINE","38","44","Online",
"03","45584","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","3:10 PM - 4:25 PM","Schwalb, Helen","OL ONLINE","13","30","Online",
"02","45583","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","1:40 PM - 2:55 PM","Hornung, David","OL ONLINE","31","31","Online",
"01","45582","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","10:45 AM - 12:00 PM","Hornung, David","OL ONLINE","30","30","Online",
"04","45585","ACCT 202 (3, 2)","Intermediate Accounting II","T, TH","10:45 AM - 12:00 PM","Weiss, Renee","OL ONLINE","31","31","Online",
"07","45588","ACCT 202 (3, 2)","Intermediate Accounting II","SU","8:20 AM - 11:00 AM","Schwalb, Helen","OL ONLINE","10","30","Online",
"06","45587","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","8:00 PM - 9:15 PM","Kumar, Vijay","OL ONLINE","26","30","Online",
"05","45586","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","6:30 PM - 7:45 PM","Schwalb, Helen","OL ONLINE","18","30","Online",
"01","45736","ACCT 261 (3, 3)","Business Law I","M, W","10:45 AM - 12:00 PM","Leibowicz, Barry","OL ONLINE","47","47","Online",
"02","45737","ACCT 261 (3, 3)","Business Law I","M, W","9:15 AM - 10:30 AM","Leibowicz, Barry","OL ONLINE","44","47","Online",
"05","45740","ACCT 261 (3, 3)","Business Law I","T, TH","3:10 PM - 4:25 PM","Milich, Marvin","OL ONLINE","44","47","Online",
"08","45743","ACCT 261 (3, 3)","Business Law I","F","6:30 PM - 9:20 PM","Seymore, Javier","OL ONLINE","45","47","Online",
"07","45742","ACCT 261 (3, 3)","Business Law I","M, W","6:30 PM - 7:45 PM","Kirschner, David","OL ONLINE","37","47","Online",
"06","45741","ACCT 261 (3, 3)","Business Law I","T, TH","5:00 PM - 6:15 PM","Milich, Marvin","OL ONLINE","25","47","Online",
"09","45744","ACCT 261 (3, 3)","Business Law I","SU","9:15 AM - 12:00 PM","Stein, Randy","OL ONLINE","47","47","Online",
"01","45610","ACCT 305 (3, 2)","Cost Accounting","M, W","3:10 PM - 4:25 PM","Huang, Qianyun (Ivy)","OL ONLINE","41","41","Online",
"02","45611","ACCT 305 (3, 2)","Cost Accounting","M, W","5:00 PM - 6:15 PM","Huang, Qianyun (Ivy)","OL ONLINE","42","41","Online",
"03","45612","ACCT 305 (3, 2)","Cost Accounting","T, TH","9:15 AM - 10:30 AM","Cohen, Martin","OL ONLINE","33","41","Online",
"04","45613","ACCT 305 (3, 2)","Cost Accounting","T, TH","10:45 AM - 12:00 PM","Cohen, Martin","OL ONLINE","30","41","Online",
"05","45614","ACCT 305 (3, 2)","Cost Accounting","T, TH","1:40 PM - 2:55 PM","Cohen, Martin","OL ONLINE","37","41","Online",
"07","45616","ACCT 305 (3, 2)","Cost Accounting","S","1:00 PM - 4:00 PM","Qureshi, Anique","OL ONLINE","18","41","Online",
"02","45622","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","M, W","5:00 PM - 6:40 PM","Stevens, Michael","OL ONLINE","38","40","Online",
"01","45621","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","M, W","2:15 PM - 4:05 PM","Stevens, Michael","OL ONLINE","34","40","Online",
"03","45623","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","8:00 AM - 9:50 AM","Adelberg, Arthur","OL ONLINE","81","81","Online",
"06","45626","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","SU","1:00 PM - 5:00 PM","Qureshi, Anique","OL ONLINE","34","40","Online",
"05","45625","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","6:55 PM - 8:45 PM","Mazzo, Mark","OL ONLINE","4","40","Online",
"04","45624","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","10:05 AM - 11:55 AM","Solieri, Steven","OL ONLINE","15","40","Online",
"02","45642","ACCT 311 (4, 3)","Advanced Accounting","T, TH","10:05 AM - 11:55 AM","Satenstein, Jeffrey","OL ONLINE","33","43","Online",
"03","45643","ACCT 311 (4, 3)","Advanced Accounting","T, TH","12:10 PM - 2:00 PM","David, Amy","OL ONLINE","43","43","Online",
"07","45647","ACCT 311 (4, 3)","Advanced Accounting","S","8:00 AM - 12:00 PM","Uddin, Md","OL ONLINE","12","43","Online",
"05","45645","ACCT 311 (4, 3)","Advanced Accounting","T, TH","2:15 PM - 4:05 PM","David, Amy","OL ONLINE","40","43","Online",
"04","45644","ACCT 311 (4, 3)","Advanced Accounting","T, TH","1:00 PM - 2:50 PM","Satenstein, Jeffrey","OL ONLINE","37","43","Online",
"08","45648","ACCT 311 (4, 3)","Advanced Accounting","SU","1:00 PM - 5:00 PM","Balkaran, Dianand","OL ONLINE","41","43","Online",
"03","45666","ACCT 321 (4, 3)","Auditing I","T, TH","8:00 AM - 9:50 AM","Solieri, Steven","OL ONLINE","45","60","Online",
"01","45664","ACCT 321 (4, 3)","Auditing I","M, W","10:05 AM - 11:55 AM","Dauber, Nicky","OL ONLINE","61","65","Online",
"04","45667","ACCT 321 (4, 3)","Auditing I","M, W","8:50 PM - 10:40 PM","Fitzsimons, Sean","OL ONLINE","37","60","Online",
"05","45668","ACCT 321 (4, 3)","Auditing I","SU","8:20 AM - 12:00 PM","Kumar, Vijay","OL ONLINE","57","60","Online",
"06","45699","ACCT 322 (3, 3)","Auditing II","SU","9:15 AM - 12:00 PM","Qamar, Zohaib","OL ONLINE","37","40","Online",
"01","45694","ACCT 322 (3, 3)","Auditing II","M, W","1:40 PM - 2:55 PM","Dauber, Nicky","OL ONLINE","40","40","Online",
"02","45695","ACCT 322 (3, 3)","Auditing II","T, TH","1:40 PM - 2:55 PM","Hitzig, Neal","OL ONLINE","13","40","Online",
"03","45696","ACCT 322 (3, 3)","Auditing II","T, TH","4:00 PM - 5:15 PM","Hitzig, Neal","OL ONLINE","2","40","Online",
"04","45697","ACCT 322 (3, 3)","Auditing II","M, W","6:30 PM - 7:45 PM","Fitzsimons, Sean","OL ONLINE","9","40","Online",
"05","45698","ACCT 322 (3, 3)","Auditing II","F","6:30 PM - 9:20 PM","Qamar, Zohaib","OL ONLINE","37","40","Online",
"01","45707","ACCT 341 (3, 3)","Accounting Information Systems","SU","9:15 AM - 12:00 PM","Qureshi, Anique","OL ONLINE","16","35","Online",
"01","45709","ACCT 343 (3, 3)","Microcomputer Applications","S","9:15 AM - 12:00 PM","Qureshi, Anique","OL ONLINE","10","35","Online",
"01","45717","ACCT 350 (3, 3)","Financial Statement Analysis","T, TH","5:00 PM - 6:15 PM","Silverman, Arthur","OL ONLINE","48","53","Online",
"02","45775","ACCT 362 (3, 3)","Business Law II","S","9:15 AM - 12:00 PM","Katz, Jeffrey","OL ONLINE","48","55","Online",
"01","45774","ACCT 362 (3, 3)","Business Law II","T, TH","6:30 PM - 7:45 PM","Altman, Julie","OL ONLINE","45","55","Online",
"08","45768","ACCT 362W (3, 3)","Business Law II","S","1:00 PM - 4:00 PM","Seymore, Javier","OL ONLINE","9","26","Online",
"06","45766","ACCT 362W (3, 3)","Business Law II","T, TH","3:10 PM - 4:25 PM","Altman, Julie","OL ONLINE","26","26","Online",
"05","45765","ACCT 362W (3, 3)","Business Law II","T, TH","9:15 AM - 10:30 AM","Linn, David","OL ONLINE","26","26","Online",
