"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","37365","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","10:45 AM - 12:00 PM","Milo, Michael","KY 419","22","22","In-Person",
"02","37366","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","3:10 PM - 4:25 PM","Milo, Michael","KY 419","20","22","In-Person",
"03","37823","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M","3:10 PM - 6:00 PM","Ho, Vivian","HH 17","21","22","In-Person",
"04","7349","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","3:00 PM - 4:40 PM","Ruthizer, Scott","PH 130","55","55","In-Person",
"12","7357","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","SU","8:20 AM - 12:00 PM","Mintz, Chana","PH 204","39","55","In-Person",
"11","7356","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","S","8:20 AM - 12:00 PM","Chan, Joseph","PH 110","54","55","In-Person",
"10","7355","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","F","6:30 PM - 10:30 PM","Solarsh, Eva","PH 212","30","30","Hybrid",
"09","7354","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","8:50 PM - 10:30 PM","Zapf, Michael","PH 110","29","55","In-Person",
"08","7353","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","6:55 PM - 8:45 PM","Ruthizer, Scott","PH 130","47","55","In-Person",
"07","7352","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","10:05 AM - 11:55 AM","Solarsh, Eva","SB D133","45","45","In-Person",
"06","7351","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","RA 201","30","30","In-Person",
"05","7350","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","5:00 PM - 6:40 PM","Erlach, David","RO 230","55","55","In-Person",
