"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","49358","AACS 220 (3, 3)","Asian American Communities","TH","3:05 PM - 5:55 PM","Khandelwal, Madhulika","OL 01","0","5","Online",
"01","11432","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","&nbsp;"," - ","Ho, Vivian","OL 01","0","0","Online",
"11","11446","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","S","8:20 AM - 12:00 PM","Chan, Joseph","OL 01","55","55","Online",
"01","11436","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","OL 01","40","55","Online",
"02","11437","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","10:05 AM - 11:55 AM","Gruza, Marvin","OL 01","18","55","Online",
"09","11444","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","TH","6:30 PM - 10:20 PM","Huang, Qianyun (Ivy)","OL 01","30","55","Online",
"04","11439","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","3:00 PM - 4:50 PM","Feisullin, Anita","OL 01","52","55","Online",
"05","11440","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","5:00 PM - 6:40 PM","Feisullin, Anita","OL 01","35","55","Online",
"06","11441","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","5:00 PM - 6:40 PM","Ruthizer, Scott","OL 01","54","55","Online",
"07","11442","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","1:40 PM - 3:30 PM","Cowan Dockery, Marlene","OL 01","29","55","Online",
"08","11443","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","&nbsp;"," - ","Solarsh, Eva","OL 02","55","55","Online",
"10","11445","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","&nbsp;"," - ","Solarsh, Eva","OL 02","54","55","Online",
"03","11438","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","10:05 AM - 11:55 AM","Ruthizer, Scott","OL 01","55","55","Online",
"07","56318","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","M, W","2:55 PM - 4:45 PM","Ruthizer, Scott","OL 01","51","50","Online",
"06","12296","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","S","1:30 PM - 5:30 PM","Luo, Cheng","OL 01","36","50","Online",
"04","11452","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","5:00 PM - 6:40 PM","David, Amy","OL 01","52","50","Online",
"03","11451","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","OL 01","52","50","Online",
"02","11450","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","10:05 AM - 11:55 AM","Feisullin, Anita","OL 01","50","50","Online",
"01","11449","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","8:00 AM - 9:50 AM","Gruza, Marvin","OL 01","25","50","Online",
"01","11455","ACCT 201 (4, 4)","Intermediate Accounting l","M, W","8:40 AM - 10:30 AM","Hornung, David","OL 01","40","40","Online",
"05","11461","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","6:50 PM - 8:45 PM","Zapf, Michael","OL 01","40","40","Online",
"04","11459","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","5:00 PM - 6:40 PM","Sun, Tao","OL 01","29","40","Online",
"03","11458","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","2:15 PM - 4:05 PM","Sun, Tao","OL 01","26","40","Online",
"02","11456","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","12:10 PM - 2:00 PM","Weiss, Renee","OL 01","29","40","Online",
"06","11462","ACCT 201 (4, 4)","Intermediate Accounting l","SU","8:20 AM - 12:00 PM","Cowan Dockery, Marlene","OL 01","24","40","Online",
"04","11467","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","6:30 PM - 7:45 PM","Schwalb, Helen","OL 01","25","40","Online",
"05","11468","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","8:00 PM - 9:15 PM","Kumar, Vijay","OL 01","27","40","Online",
"06","11469","ACCT 202 (3, 2)","Intermediate Accounting II","SU","8:20 AM - 11:05 AM","Schwalb, Helen","OL 01","11","40","Online",
"01","11463","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","10:45 AM - 12:00 PM","Hornung, David","OL 01","40","40","Online",
"02","11464","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","1:40 PM - 2:55 PM","Hornung, David","OL 01","39","40","Online",
"03","11466","ACCT 202 (3, 2)","Intermediate Accounting II","T, TH","3:10 PM - 4:25 PM","Weiss, Renee","OL 01","33","40","Online",
"01A","11506","ACCT 261 (3, 3)","Business Law I","M, W","1:40 PM - 2:55 PM","Leibowicz, Barry","OL 01","37","45","Online",
"02","11507","ACCT 261 (3, 3)","Business Law I","M, W","3:10 PM - 4:25 PM","Leibowicz, Barry","OL 01","19","45","Online",
"07","12431","ACCT 261 (3, 3)","Business Law I","SU","9:15 AM - 12:00 PM","Stein, Randy","OL 01","45","45","Online",
"05","11510","ACCT 261 (3, 3)","Business Law I","M, W","6:30 PM - 7:45 PM","Kirschner, David","OL 01","43","45","Online",
"06","11511","ACCT 261 (3, 3)","Business Law I","F","6:30 PM - 9:20 PM","Seymore, Javier","OL 01","45","45","Online",
"03","11508","ACCT 261 (3, 3)","Business Law I","T, TH","3:10 PM - 4:25 PM","Milich, Marvin","OL 01","41","45","Online",
"04","11473","ACCT 305 (3, 2)","Cost Accounting","T, TH","10:45 AM - 12:00 PM","Cohen, Martin","OL 01","35","40","Online",
