"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"05","65820","ECPSE 746 (3, 3)","Research Spec Educ","T","7:15 PM - 9:45 PM","Brown, Fredda","PH 102","14","12","In-Person",
"10","65825","ECPSE 746 (3, 3)","Research Spec Educ","W","7:15 PM - 9:45 PM","Tsiris, Catherine","PH 034","15","12","In-Person",
"01","65816","ECPSE 746 (3, 3)","Research Spec Educ","M","4:35 PM - 7:05 PM","Kennedy, Maria","QH 265H","14","12","In-Person",
"11","90454","ECPSE 746 (3, 3)","Research Spec Educ","W","4:35 PM - 7:05 PM","Wang, Peishi","QH 270A","12","12","In-Person",
"04","65819","ECPSE 746 (3, 3)","Research Spec Educ","T","4:35 PM - 7:05 PM","Brown, Fredda","PH 102","11","12","In-Person",
"02","64861","ECPSP 764 (3, 3)","Intro To Research","T","4:35 PM - 7:05 PM","Puliatte, Alison","KY 426","13","15","In-Person",
"01","64859","ECPSP 764 (3, 3)","Intro To Research","T","4:35 PM - 7:05 PM","Chen, Yung-Chi","KY 424","13","15","In-Person",
"01","64865","ECPSP 766 (3, 3)","Fieldwork School Psychology I","W","7:15 PM - 9:45 PM","Finkelstein, Elissa","PH 001","1","10","In-Person",
"01","64877","ECPSP 768 (3, 3)","Internship School Psychology I","TH","3:15 PM - 4:25 PM","Frank, Morton","PH 001","7","10","In-Person",
"02","64878","ECPSP 768 (3, 3)","Internship School Psychology I","TH","3:15 PM - 4:25 PM","Manfredo, Roberta","PH 032A","7","10","In-Person",
"03","64879","ECPSP 768 (3, 3)","Internship School Psychology I","TH","3:15 PM - 4:25 PM","Kahan, Harry","PH 030","3","10","In-Person",
"01","64884","ECPSP 7681 (3, 3)","Internship Bilingual/Multi I","M","3:00 PM - 4:25 PM","Kahan, Harry","PH 031","10","10","In-Person",
"02","64888","ECPSP 770 (3, 3)","Behav Assess Interv","TH","4:35 PM - 7:05 PM","Mccarville, Edel","KY 425","14","15","In-Person",
"01","64887","ECPSP 770 (3, 3)","Behav Assess Interv","TH","4:35 PM - 7:05 PM","Vail-Gandolfo, Noreen","KY 148","15","15","In-Person",
"01","64894","ECPSP 771 (3, 3)","Prof Issues-Sch Psy","TH","4:35 PM - 7:05 PM","Fish, Marian","PH 121","14","15","In-Person",
"02","64895","ECPSP 771 (3, 3)","Prof Issues-Sch Psy","TH","7:15 PM - 9:45 PM","Wershba Gershon, Pamela","KY 148","13","15","In-Person",
"02","64909","ECPSP 772 (4, 4)","Intell/Cognit Func 1","M","4:35 PM - 7:05 PM","Huang, Annie","PH 034","10","15","In-Person",
"03","64910","ECPSP 772 (4, 4)","Intell/Cognit Func 1","M","4:35 PM - 7:05 PM","Cuskley, Tara","PH 102","10","15","In-Person",
"01","64908","ECPSP 772 (4, 4)","Intell/Cognit Func 1","M","4:35 PM - 7:05 PM","Shindman, Jennifer","PH 031","10","15","In-Person",
"02","64915","ECPSP 775 (3, 3)","Personality Eval 2","T","4:35 PM - 7:05 PM","Frank, Morton","KY 318","16","15","In-Person",
"02","64931","ECPSP 778 (3, 3)","Counseling Techniq","W","4:35 PM - 7:05 PM","Wershba Gershon, Pamela","PH 031","16","15","In-Person",
"02","64943","ECPSP 779 (3, 3)","Multicult Iss In Sch","TH","4:35 PM - 7:05 PM","Chen, Yung-Chi","PH 151","18","15","In-Person",
"01","64942","ECPSP 779 (3, 3)","Multicult Iss In Sch","T","4:35 PM - 7:05 PM","Voutsinas, Melania","PH 034","16","15","In-Person",
"01","64954","ECPSP 860 (3, 3)","Human Development","T","4:35 PM - 7:05 PM","Wershba Gershon, Pamela","PH 031","15","15","In-Person",
"02","64955","ECPSP 860 (3, 3)","Human Development","TH","4:35 PM - 7:05 PM","Wershba Gershon, Pamela","PH 102","15","15","In-Person",
"01","64966","ECPSP 861 (3, 3)","Sem Special Issues","M","4:35 PM - 7:05 PM","Romero, Patricio","KY 423","11","20","In-Person",
"02","64967","ECPSP 861 (3, 3)","Sem Special Issues","M","7:15 PM - 9:45 PM","Romero, Patricio","KY 423","12","20","In-Person",
"01","64975","ECPSP 863 (3, 3)","Exceptionality of Human Devel","W","1:40 PM - 4:10 PM","Proctor, Sherrie","PH 034","15","15","In-Person",
"02","64976","ECPSP 863 (3, 3)","Exceptionality of Human Devel","W","4:35 PM - 7:05 PM","Proctor, Sherrie","QH 265H","15","15","In-Person",
"03","64977","ECPSP 863 (3, 3)","Exceptionality of Human Devel","TH","1:40 PM - 4:10 PM","Proctor, Sherrie","QH 265H","14","15","In-Person",
"01","59524","EDUCN 105 (3, 3)","Education in Global Times","W","1:40 PM - 4:30 PM","Spring, Joel","CD 134","64","80","In-Person",
"01","59170","EECE 201W (3, 3)","Schl In Diverse Cmty","M","9:10 AM - 12:00 PM","Silverberg, Elaine","PH 013","27","27","In-Person",
"02","59172","EECE 201W (3, 3)","Schl In Diverse Cmty","T","1:00 PM - 3:40 PM","Greiner, Mary","PH 013","27","27","Web-Enhanced",
"03","59388","EECE 201W (3, 3)","Schl In Diverse Cmty","W","9:10 AM - 12:00 PM","Silverberg, Elaine","PH 013","27","27","In-Person",
"04","59389","EECE 201W (3, 3)","Schl In Diverse Cmty","W","4:35 PM - 7:05 PM","Spring, Joel","KY 281","26","27","In-Person",
"01","59504","EECE 220 (3, 3)","Mod Learing Tech","M","4:35 PM - 7:05 PM","Fraboni, Michelle","PH 020","19","25","Hybrid",
"02","59505","EECE 220 (3, 3)","Mod Learing Tech","W","4:35 PM - 7:05 PM","Fraboni, Michelle","PH 020","21","25","Hybrid",
"03","59506","EECE 220 (3, 3)","Mod Learing Tech","W","4:35 PM - 7:05 PM","Shin, Sunghee","PH 020","18","25","Hybrid",
"03","59393","EECE 310W (3, 3)","Cultural Context I: Child Dev","T","9:10 AM - 12:00 PM","Spring, Toni","PH 015","27","27","Hybrid",
"02","59392","EECE 310W (3, 3)","Cultural Context I: Child Dev","M","1:40 PM - 4:30 PM","Swell, Lila","PH 016","21","27","In-Person",
"01","59391","EECE 310W (3, 3)","Cultural Context I: Child Dev","M","9:10 AM - 12:00 PM","Spring, Toni","PH 016","26","27","Hybrid",
"04","59395","EECE 310W (3, 3)","Cultural Context I: Child Dev","T","4:35 PM - 7:05 PM","Swell, Lila","PH 108","24","27","In-Person",
"05","59396","EECE 310W (3, 3)","Cultural Context I: Child Dev","W","1:40 PM - 4:30 PM","Swell, Lila","PH 016","22","27","In-Person",
"06","59397","EECE 310W (3, 3)","Cultural Context I: Child Dev","TH","7:15 PM - 9:45 PM","Rhodd, Renee","PH 106","18","22","In-Person",
"01","59405","EECE 311 (3, 3)","Cultural Context II: Lrn/Teach","T","1:00 PM - 3:40 PM","Humera, Fathima","PH 015","22","25","In-Person",
"02","59409","EECE 311 (3, 3)","Cultural Context II: Lrn/Teach","W","9:10 AM - 12:00 PM","Humera, Fathima","PH 015","23","25","In-Person",
"03","59426","EECE 340 (3, 3)","Early Dev Lang&amp; Lit","TH","9:10 AM - 12:00 PM","Kabuto, Bobbie","PH 015","27","27","Web-Enhanced",
"02","59425","EECE 340 (3, 3)","Early Dev Lang&amp; Lit","T","1:00 PM - 3:40 PM","Steuerwalt, Karen","PH 018","25","27","Hybrid",
"04","91386","EECE 340 (3, 3)","Early Dev Lang&amp; Lit","W","9:10 AM - 12:00 PM","Steuerwalt, Karen","PH 018","16","25","Hybrid",
"01","59424","EECE 340 (3, 3)","Early Dev Lang&amp; Lit","M","1:40 PM - 4:30 PM","Steuerwalt, Karen","PH 018","25","27","Hybrid",
"03","59448","EECE 341 (3, 3)","Lang&amp;Lit:Tchg Rdg","W","1:40 PM - 4:30 PM","Almendral, Caterina","PH 015","24","25","In-Person",
"01","59444","EECE 341 (3, 3)","Lang&amp;Lit:Tchg Rdg","T","9:10 AM - 12:00 PM","Gill, Patricia","PH 016","21","25","In-Person",
"01","59461","EECE 350 (3, 3)","Tchg Elem Math","TH","1:00 PM - 3:40 PM","Turkel, Susan","PH 015","19","25","Hybrid",
