"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","86954","AACS 107 (3, 3)","Cult Divers &amp; Local Global Com","M","1:40 PM - 4:30 PM","Chatterjee, Nilanjana","RA 209","13","20","In-Person",
"01","86971","AACS 200 (3, 3)","Making of Asian/American Hist","W","1:40 PM - 4:30 PM","Inouye, Daniel","RA 209","0","10","In-Person",
"02","85808","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","3:10 PM - 4:25 PM","Milo, Michael","KY 419","24","25","In-Person",
"03","85824","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M, W","5:00 PM - 6:15 PM","Ho, Vivian","HH 17","24","25","In-Person",
"01","85799","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","10:45 AM - 12:00 PM","Milo, Michael","KY 419","24","25","In-Person",
"01","87522","ACCT 101 (4, 3)","Int Th &amp; Pr Acct 1","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","PH 130","55","55","In-Person",
"10","89659","ACCT 101 (4, 3)","Int Th &amp; Pr Acct 1","S","1:00 PM - 5:00 PM","Dietz, George","PH 116","37","40","In-Person",
"09","89634","ACCT 101 (4, 3)","Int Th &amp; Pr Acct 1","F","6:30 PM - 10:30 PM","Solarsh, Eva","PH 130","37","40","In-Person",
"08","89627","ACCT 101 (4, 3)","Int Th &amp; Pr Acct 1","T, TH","8:50 PM - 10:30 PM","Zapf, Michael","PH 110","20","40","In-Person",
"07","89624","ACCT 101 (4, 3)","Int Th &amp; Pr Acct 1","M, W","6:55 PM - 8:35 PM","Ruthizer, Scott","PH 112","39","40","In-Person",
"06","89598","ACCT 101 (4, 3)","Int Th &amp; Pr Acct 1","T, TH","10:05 AM - 11:55 AM","Solarsh, Eva","KY 236","30","30","In-Person",
"05","88088","ACCT 101 (4, 3)","Int Th &amp; Pr Acct 1","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","QH 315H","42","42","In-Person",
"04","88017","ACCT 101 (4, 3)","Int Th &amp; Pr Acct 1","M, W","5:00 PM - 6:40 PM","Erlach, David","RO 230","101","100","In-Person",
"03","87986","ACCT 101 (4, 3)","Int Th &amp; Pr Acct 1","W, F","10:05 AM - 11:55 AM","Erlach, David","KY 258","41","40","In-Person",
"02","87524","ACCT 101 (4, 3)","Int Th &amp; Pr Acct 1","W, F","8:00 AM - 9:50 AM","Gruza, Marvin","QH 315H","28","40","In-Person",
"01","89665","ACCT 102 (4, 3)","Int Th &amp; Pr Acct 2","W, F","10:05 AM - 11:55 AM","Gruza, Marvin","QH 315H","22","40","In-Person",
"02","89667","ACCT 102 (4, 3)","Int Th &amp; Pr Acct 2","M, W","1:40 PM - 3:30 PM","Erlach, David","PH 116","55","50","In-Person",
