"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","77168","AACS 107 (3, 3)","Cult Divers &amp; Local Global Com","M, W","1:40 PM - 2:55 PM","Khandelwal, Madhulika","PH 115","9","25","In-Person",
"01","77020","AACS 200 (3, 3)","Making of Asian/American Hist","M, W","3:10 PM - 4:25 PM","Khandelwal, Madhulika","PH 115","0","15","In-Person",
"01","56317","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","10:45 AM - 12:00 PM","Milo, Michael","KY 419","24","22","In-Person",
"02","56318","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","3:10 PM - 4:25 PM","Milo, Michael","KY 419","23","22","In-Person",
"03","56319","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M","3:10 PM - 6:00 PM","Ho, Vivian","HH 17","16","22","In-Person",
"07","58499","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","6:55 PM - 8:35 PM","Ruthizer, Scott","PH 116","46","45","In-Person",
"09","58527","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","F","6:30 PM - 10:30 PM","Solarsh, Eva","PH 212","31","31","Hybrid",
"08","58505","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","8:50 PM - 10:30 PM","Zapf, Michael","PH 110","43","45","In-Person",
"06","58241","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","10:05 AM - 11:55 AM","Solarsh, Eva","KY 220","29","28","In-Person",
"05","58238","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","RA 201","47","45","In-Person",
"04","58232","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","5:00 PM - 6:40 PM","Erlach, David","RO 230","100","100","In-Person",
"03","58222","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W","10:05 AM - 11:55 AM","Erlach, David","RA 205","45","45","In-Person",
"03","58222","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","F","10:05 AM - 11:55 AM","Erlach, David","PH 156","45","45","In-Person",
"02","58217","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W, F","8:00 AM - 9:50 AM","Gruza, Marvin","RA 201","23","45","In-Person",
"01","58215","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","PH 130","47","46","In-Person",
"10","58533","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","S","8:00 AM - 12:00 PM","Chan, Joseph","PH 116","32","45","In-Person",
"11","58546","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","SU","8:00 AM - 12:00 PM","Mintz, Chana","PH 121","14","40","In-Person",
"03","58378","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","2:15 PM - 4:05 PM","David, Amy","PH 116","45","45","In-Person",
"01","58375","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","W, F","10:05 AM - 11:55 AM","Gruza, Marvin","RA 201","17","40","In-Person",
"04","58394","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","10:05 AM - 11:55 AM","Feisullin, Anita","RA 201","44","45","In-Person",
"09","58585","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","S","8:00 AM - 12:00 PM","Khanna, Himanshu","PH 110","27","40","In-Person",
"06","58555","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","6:55 PM - 8:35 PM","Kessar, Nathaniel","PH 112","39","40","In-Person",
"05","58550","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","M, W","8:50 PM - 10:30 PM","Ruthizer, Scott","PH 116","42","40","In-Person",
"07","58565","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","F","6:30 PM - 10:30 PM","Benjamin, Ranjitkumar","PH 110","37","40","In-Person",
"02","58377","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","M, W","1:40 PM - 3:30 PM","Erlach, David","PH 116","46","44","In-Person",
"08","58573","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","SU","8:00 AM - 12:00 PM","Benjamin, Ranjitkumar","PH 116","37","40","In-Person",
"03","58598","ACCT 201 (4, 4)","Inter Acct 1","T, TH","5:00 PM - 6:40 PM","Levine, Marc","PH 130","52","52","In-Person",
"02","58596","ACCT 201 (4, 4)","Inter Acct 1","T, TH","2:15 PM - 4:05 PM","Levine, Marc","PH 130","53","52","In-Person",
"01","58594","ACCT 201 (4, 4)","Inter Acct 1","M, W","8:40 AM - 10:30 AM","Hornung, David","PH 110","55","52","In-Person",
"07","58681","ACCT 201 (4, 4)","Inter Acct 1","SU","8:00 AM - 12:00 PM","Wasserstrum, David","PH 132","50","50","In-Person",
"08","81797","ACCT 201 (4, 4)","Inter Acct 1","F","9:10 AM - 1:00 PM","Weiss, Renee","PH 212","28","28","In-Person",
"05","58663","ACCT 201 (4, 4)","Inter Acct 1","M, W","6:55 PM - 8:35 PM","Lahijani, Richard","PH 130","51","50","In-Person",
"06","58666","ACCT 201 (4, 4)","Inter Acct 1","T, TH","6:55 PM - 8:35 PM","Nussbaum, Stephen","PH 130","51","50","In-Person",
"07","58714","ACCT 202 (3, 2)","Inter Acct 2","SU","9:00 AM - 12:00 PM","Zapf, Michael","PH 117","44","45","In-Person",
"06","58707","ACCT 202 (3, 2)","Inter Acct 2","M, W","8:00 PM - 9:15 PM","Kumar, Vijay","PH 112","49","47","In-Person",
"05","58700","ACCT 202 (3, 2)","Inter Acct 2","M, W","6:30 PM - 7:45 PM","Schwalb, Helen","RA 205","37","45","In-Person",
"04","58694","ACCT 202 (3, 2)","Inter Acct 2","T, TH","9:15 AM - 10:30 AM","Weiss, Renee","PH 212","22","28","In-Person",
"03","58692","ACCT 202 (3, 2)","Inter Acct 2","M, W","3:10 PM - 4:25 PM","Schwalb, Helen","RA 201","35","43","In-Person",
"02","58689","ACCT 202 (3, 2)","Inter Acct 2","M, W","1:40 PM - 2:55 PM","Hornung, David","PH 110","39","43","In-Person",
"01","58687","ACCT 202 (3, 2)","Inter Acct 2","M, W","10:45 AM - 12:00 PM","Hornung, David","PH 110","44","45","In-Person",
"08","74528","ACCT 202 (3, 2)","Inter Acct 2","T, TH","10:45 AM - 12:00 PM","Weiss, Renee","PH 212","28","28","In-Person",
"05","63038","ACCT 261 (3, 3)","Business Law l","T, TH","3:10 PM - 4:25 PM","Milich, Marvin","PH 112","40","40","In-Person",
"09","63085","ACCT 261 (3, 3)","Business Law l","SU","9:00 AM - 12:00 PM","Stein, Randy","PH 152","40","40","In-Person",
"06","63044","ACCT 261 (3, 3)","Business Law l","T, TH","5:00 PM - 6:15 PM","Milich, Marvin","PH 112","40","40","In-Person",
"07","63048","ACCT 261 (3, 3)","Business Law l","M, W","6:30 PM - 7:45 PM","Kirschner, David","RA 208","40","40","In-Person",
"02","62162","ACCT 261 (3, 3)","Business Law l","M, W","3:10 PM - 4:25 PM","Leibowicz, Barry","PH 012","40","40","In-Person",
"01","62113","ACCT 261 (3, 3)","Business Law l","M, W","1:40 PM - 2:55 PM","Leibowicz, Barry","PH 012","40","40","In-Person",
"04","63033","ACCT 261 (3, 3)","Business Law l","W, F","9:15 AM - 10:30 AM","Mintz, Seymour","PH 112","23","40","In-Person",
"03","63025","ACCT 261 (3, 3)","Business Law l","W, F","7:45 AM - 9:00 AM","Mintz, Seymour","PH 112","20","40","In-Person",
"08","63081","ACCT 261 (3, 3)","Business Law l","F","6:30 PM - 9:30 PM","Seymore, Javier","PH 112","37","40","In-Person",
