"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","40448","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M","3:10 PM - 6:00 PM","Ho, Vivian","HH 17","20","20","In-Person",
"02","25377","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W, F","8:00 AM - 9:50 AM","Gruza, Marvin","RA 201","25","46","In-Person",
"04","25379","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","3:00 PM - 4:50 PM","Ruthizer, Scott","PH 130","57","57","In-Person",
"05","25380","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","5:00 PM - 6:50 PM","Erlach, David","RO 230","80","80","In-Person",
"06","25381","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","RA 201","45","46","In-Person",
"07","25382","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","10:05 AM - 11:55 AM","Solarsh, Eva","RZ 147","33","32","In-Person",
"08","25383","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","6:55 PM - 8:45 PM","Ruthizer, Scott","PH 130","49","57","In-Person",
"09","25384","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","8:50 PM - 10:30 PM","Zapf, Michael","PH 110","35","57","In-Person",
"10","25385","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","F","6:30 PM - 10:30 PM","Solarsh, Eva","PH 212","30","30","In-Person",
"11","25386","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","S","8:20 AM - 12:00 PM","Chan, Joseph","PH 012","46","45","In-Person",
"12","25387","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","SU","8:20 AM - 12:00 PM","Mintz, Chana","PH 204","15","40","In-Person",
"01","25376","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","PH 130","57","57","In-Person",
"01","25388","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","W, F","10:05 AM - 11:55 AM","Gruza, Marvin","RA 201","22","46","In-Person",
"02","25389","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","M, W","1:40 PM - 3:30 PM","Erlach, David","KY 317","41","40","In-Person",
"03","25390","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","10:05 AM - 11:55 AM","Feisullin, Anita","RA 201","46","46","In-Person",
"04","25391","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","5:00 PM - 6:40 PM","David, Amy","PH 116","46","46","In-Person",
"09","25396","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","SU","8:20 AM - 12:00 PM","Benjamin, Ranjitkumar","PH 112","45","46","In-Person",
"06","25393","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","6:55 PM - 8:45 PM","Kessar, Nathaniel","PH 116","17","46","In-Person",
"07","25394","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","F","6:30 PM - 10:10 PM","Benjamin, Ranjitkumar","PH 115","37","46","In-Person",
"08","25395","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","S","8:20 AM - 12:00 PM","Khanna, Himanshu","PH 112","45","46","In-Person",
"05","25392","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","M, W","6:55 PM - 8:45 PM","Sun, Fang","PH 116","40","46","In-Person",
"04","25401","ACCT 201 (4, 4)","Inter Acct 1","T, TH","5:00 PM - 6:40 PM","Levine, Marc","PH 130","52","54","In-Person",
"03","25400","ACCT 201 (4, 4)","Inter Acct 1","T, TH","2:15 PM - 4:05 PM","Levine, Marc","PH 130","56","54","In-Person",
"02","25398","ACCT 201 (4, 4)","Inter Acct 1","M, W","1:40 PM - 3:30 PM","Hornung, David","PH 110","52","52","In-Person",
"01","25397","ACCT 201 (4, 4)","Inter Acct 1","M, W","8:40 AM - 10:30 AM","Hornung, David","PH 110","53","52","In-Person",
"05","25402","ACCT 201 (4, 4)","Inter Acct 1","M, W","6:55 PM - 8:45 PM","Lahijani, Richard","PH 119","43","52","In-Person",
"06","25403","ACCT 201 (4, 4)","Inter Acct 1","T","6:30 PM - 10:20 PM","Nussbaum, Stephen","PH 113","52","52","In-Person",
"07","25404","ACCT 201 (4, 4)","Inter Acct 1","SU","8:20 AM - 12:00 PM","Wasserstrum, David","PH 110","53","52","In-Person",
"04","25411","ACCT 202 (3, 2)","Inter Acct 2","T, TH","2:15 PM - 3:30 PM","Schwalb, Helen","RA 201","40","40","In-Person",
"03","25410","ACCT 202 (3, 2)","Inter Acct 2","M, W","3:10 PM - 4:25 PM","Schwalb, Helen","RA 201","28","42","In-Person",
"02","25409","ACCT 202 (3, 2)","Inter Acct 2","T, TH","10:45 AM - 12:00 PM","Kumar, Vijay","PH 212","28","30","In-Person",
"01","25408","ACCT 202 (3, 2)","Inter Acct 2","M, W","10:45 AM - 12:00 PM","Hornung, David","PH 110","46","44","In-Person",
"06","25413","ACCT 202 (3, 2)","Inter Acct 2","M, W","8:00 PM - 9:15 PM","Kumar, Vijay","PH 110","40","44","In-Person",
"05","53899","ACCT 202 (3, 2)","Inter Acct 2","M, W","6:30 PM - 7:45 PM","Schwalb, Helen","RA 201","31","40","In-Person",
