"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","7600","AACS 220 (3, 3)","Asian American Communities","M, W","10:45 AM - 12:00 PM","Khandelwal, Madhulika","RA 208","5","15","Hybrid",
"01","7601","AACS 370 (3, 3)","Field Work  Asian American Com","&nbsp;"," - ","Khandelwal, Madhulika"," ","6","1","Online",
"01","48254","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M","3:10 PM - 6:00 PM","Ho, Vivian","HH 17","17","15","Hybrid",
"01","49131","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","PH 130","51","55","Hybrid",
"12","49142","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","S","8:20 AM - 12:00 PM","Chan, Joseph","PH 112","44","44","Hybrid",
"11","49141","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","F","6:30 PM - 10:20 PM","Solarsh, Eva","PH 212","26","40","Hybrid",
"10","49140","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","TH","6:30 PM - 10:20 PM","Huang, Qianyun (Ivy)","RA 210","23","30","Hybrid",
"09","49139","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","5:00 PM - 6:40 PM","Ruthizer, Scott","PH 130","46","46","Hybrid",
"08","49138","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","5:00 PM - 6:40 PM","Feisullin, Anita","PH 130","40","46","Hybrid",
"07","49137","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","3:00 PM - 4:50 PM","Feisullin, Anita","PH 130","46","46","Hybrid",
"02","49132","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","10:05 AM - 11:55 AM","Ruthizer, Scott","PH 117","51","51","Hybrid",
"03","49133","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","1:40 PM - 3:30 PM","Cowan Dockery, Marlene","RA 201","45","45","Hybrid",
"04","49134","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","8:00 AM - 9:50 AM","Solarsh, Eva","KY 319","40","40","Hybrid",
"05","49135","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","10:05 AM - 11:55 AM","Gruza, Marvin","RA 201","36","45","Hybrid",
"06","49136","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","PH 130","50","50","Hybrid",
"01","49143","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","M, W","3:00 PM - 4:50 PM","Ruthizer, Scott","PH 130","45","45","Hybrid",
"07","49149","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","F","6:30 PM - 10:20 PM","Sun, Fang","PH 110","20","45","Hybrid",
"05","49147","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","M, W","6:55 PM - 8:45 PM","Ruthizer, Scott","PH 130","38","45","Hybrid",
"04","49146","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","5:00 PM - 6:40 PM","David, Amy","PH 116","33","45","Hybrid",
"03","49145","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","10:05 AM - 11:55 AM","Feisullin, Anita","PH 130","46","45","Hybrid",
"02","49144","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","8:00 AM - 9:50 AM","Gruza, Marvin","RA 201","30","40","Hybrid",
"08","49150","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","S","1:30 PM - 5:00 PM","Luo, Cheng","PH 112","30","45","Hybrid",
"03","49154","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","12:10 PM - 2:00 PM","Weiss, Renee","PH 212","30","30","Hybrid",
"02","49153","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","10:15 AM - 11:55 AM","Weiss, Renee","PH 212","23","30","Hybrid",
"01","49152","ACCT 201 (4, 4)","Intermediate Accounting l","M, W","8:40 AM - 10:30 AM","Hornung, David","PH 110","32","31","Hybrid",
"04","49155","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","2:15 PM - 4:05 PM","Sun, Tao","PH 110","13","30","Hybrid",
"05","49156","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","5:00 PM - 6:40 PM","Sun, Tao","PH 110","18","30","Hybrid",
"06","49157","ACCT 201 (4, 4)","Intermediate Accounting l","M, W","6:55 PM - 8:45 PM","Uddin, Md","SB A143","15","30","Hybrid",
"07","49158","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","6:50 PM - 8:45 PM","Zapf, Michael","PH 130","31","30","Hybrid",
"08","49159","ACCT 201 (4, 4)","Intermediate Accounting l","SU","8:20 AM - 12:00 PM","Cowan Dockery, Marlene","PH 114","29","30","Hybrid",
"03","49162","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","3:10 PM - 4:25 PM","Schwalb, Helen","PH 153","34","42","Hybrid",
"02","49161","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","1:40 PM - 2:55 PM","Hornung, David","PH 110","42","42","Hybrid",
"01","49160","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","10:45 AM - 12:00 PM","Hornung, David","PH 110","41","42","Hybrid",
"04","49163","ACCT 202 (3, 2)","Intermediate Accounting II","T, TH","2:15 PM - 3:30 PM","Weiss, Renee","PH 212","31","30","Hybrid",
"07","49166","ACCT 202 (3, 2)","Intermediate Accounting II","SU","8:20 AM - 11:05 AM","Schwalb, Helen","PH 115","17","42","Hybrid",
"06","49165","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","8:00 PM - 9:15 PM","Kumar, Vijay","PH 110","18","42","Hybrid",
"05","49164","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","6:30 PM - 7:45 PM","Schwalb, Helen","PH 114","25","42","Hybrid",
"02","49203","ACCT 261 (3, 3)","Business Law I","M, W","7:45 AM - 9:00 AM","Mintz, Seymour","PH 012","35","35","Hybrid",
"03","49204","ACCT 261 (3, 3)","Business Law I","M, W","9:15 AM - 10:30 AM","Mintz, Seymour","PH 012","34","35","Hybrid",
"04","49205","ACCT 261 (3, 3)","Business Law I","M, W","1:40 PM - 2:55 PM","Leibowicz, Barry","PH 112","31","43","Hybrid",
"06","49207","ACCT 261 (3, 3)","Business Law I","T, TH","3:10 PM - 4:25 PM","Milich, Marvin","PH 112","38","43","Hybrid",
"09","49210","ACCT 261 (3, 3)","Business Law I","F","6:30 PM - 9:20 PM","Seymore, Javier","PH 112","16","43","Hybrid",
"08","49209","ACCT 261 (3, 3)","Business Law I","M, W","6:30 PM - 7:45 PM","Kirschner, David","RA 205","24","38","Hybrid",
"07","49208","ACCT 261 (3, 3)","Business Law I","T, TH","5:00 PM - 6:15 PM","Milich, Marvin","PH 112","30","43","Hybrid",
"10","49211","ACCT 261 (3, 3)","Business Law I","SU","9:15 AM - 12:00 PM","Stein, Randy","PH 153","43","43","Hybrid",
"05","49171","ACCT 305 (3, 2)","Cost Accounting","T, TH","1:40 PM - 2:55 PM","Cohen, Martin","PH 012","25","33","Hybrid",
"04","49170","ACCT 305 (3, 2)","Cost Accounting","T, TH","10:45 AM - 12:00 PM","Cohen, Martin","PH 012","30","33","Hybrid",
"03","49169","ACCT 305 (3, 2)","Cost Accounting","T, TH","9:15 AM - 10:30 AM","Cohen, Martin","PH 012","28","33","Hybrid",
"02","49168","ACCT 305 (3, 2)","Cost Accounting","M, W","5:00 PM - 6:15 PM","Huang, Qianyun (Ivy)","PH 110","32","33","Hybrid",
"01","49167","ACCT 305 (3, 2)","Cost Accounting","M, W","3:10 PM - 4:25 PM","Huang, Qianyun (Ivy)","PH 110","25","33","Hybrid",
"06","49172","ACCT 305 (3, 2)","Cost Accounting","T, TH","6:30 PM - 7:45 PM","Kessar, Nathaniel","PH 112","5","33","Hybrid",
"07","49173","ACCT 305 (3, 2)","Cost Accounting","S","1:00 PM - 4:00 PM","Qureshi, Anique"," ","27","33","Hybrid",
"05","49179","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","6:55 PM - 8:45 PM","Mazzo, Mark","PH 110","9","45","Hybrid",
"04","49178","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","10:05 AM - 11:55 AM","Solieri, Steven","PH 116","20","50","Hybrid",
"03","49177","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","8:00 AM - 9:50 AM","Adelberg, Arthur","KY 264","73","71","Hybrid",
"02","49176","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","M, W","5:00 PM - 6:40 PM","Stevens, Michael","PH 112","43","50","Hybrid",
"01","49175","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","M, W","2:15 PM - 4:05 PM","Stevens, Michael","PH 119","33","45","Hybrid",
"06","49180","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","SU","1:00 PM - 5:00 PM","Qureshi, Anique"," ","49","50","Hybrid",
"05","49185","ACCT 311 (4, 3)","Advanced Accounting","M, W","6:30 PM - 8:20 PM","Juva, John","KY 313","9","40","Hybrid",
"07","49187","ACCT 311 (4, 3)","Advanced Accounting","SU","1:00 PM - 5:00 PM","Balkaran, Dianand","PH 110","44","40","Hybrid",
"06","49186","ACCT 311 (4, 3)","Advanced Accounting","S","8:20 AM - 12:00 PM","Uddin, Md","PH 116","17","40","Hybrid",
"04","49184","ACCT 311 (4, 3)","Advanced Accounting","T, TH","2:15 PM - 4:05 PM","David, Amy","PH 116","30","40","Hybrid",
"03","49183","ACCT 311 (4, 3)","Advanced Accounting","T, TH","12:10 PM - 2:00 PM","David, Amy","PH 116","41","40","Hybrid",
"01","49181","ACCT 311 (4, 3)","Advanced Accounting","T, TH","8:00 AM - 9:50 AM","Satenstein, Jeffrey","PH 112","22","40","Hybrid",
"02","49182","ACCT 311 (4, 3)","Advanced Accounting","T, TH","10:05 AM - 11:55 AM","Satenstein, Jeffrey","PH 112","33","40","Hybrid",
"02","49188","ACCT 321 (4, 3)","Auditing I","M, W","10:05 AM - 11:55 AM","Dauber, Nicky","PH 130","41","41","Hybrid",
"04","49190","ACCT 321 (4, 3)","Auditing I","T, TH","8:00 AM - 9:50 AM","Solieri, Steven","PH 116","11","43","Hybrid",
"03","49189","ACCT 321 (4, 3)","Auditing I","M, W","1:40 PM - 3:30 PM","Mintz, Seymour","PH 012","43","43","Hybrid",
"05","49191","ACCT 321 (4, 3)","Auditing I","M, W","8:50 PM - 10:40 PM","Fitzsimons, Sean","PH 112","9","43","Hybrid",
"06","49192","ACCT 321 (4, 3)","Auditing I","SU","8:20 AM - 12:00 PM","Kumar, Vijay","PH 116","34","43","Hybrid",
"02","49194","ACCT 322 (3, 3)","Auditing II","T","1:40 PM - 2:55 PM","Hitzig, Neal","PH 208","19","21","Hybrid",
"06","49198","ACCT 322 (3, 3)","Auditing II","SU","9:15 AM - 12:00 PM","Qamar, Zohaib","PH 154","44","47","Hybrid",
"05","49197","ACCT 322 (3, 3)","Auditing II","F","6:30 PM - 9:20 PM","Qamar, Zohaib","PH 116","46","47","Hybrid",
"04","49196","ACCT 322 (3, 3)","Auditing II","M, W","6:30 PM - 7:45 PM","Fitzsimons, Sean","RA 201","37","47","Hybrid",
