"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"16","33897","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Rosen, Marcy"," ","0","30","In-Person",
"17","33900","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Jolley, David"," ","1","30","In-Person",
"18","33903","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Jones, Alice"," ","0","30","In-Person",
"19","33906","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Pirone, Donald"," ","0","30","In-Person",
"20","33909","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Ronis, David"," ","0","30","In-Person",
"21","33912","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Chang, Ching-Min"," ","0","30","In-Person",
"22","33915","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Sinanian-Forden, Linda"," ","0","30","In-Person",
"23","33918","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Mendenhall, Judith"," ","0","30","In-Person",
"24","33921","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Lee, Kristin"," ","0","30","In-Person",
"25","33924","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Cho, Chaeeoun"," ","1","30","In-Person",
"26","33927","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Diaz-Acosta, Ubaldo"," ","0","30","In-Person",
"27","33930","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Williams, Gregory"," ","1","30","In-Person",
"12","33885","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ",", "," ","0","30","In-Person",
"11","33883","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Anderson, William"," ","0","30","In-Person",
"10","33880","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Cohen, Paul"," ","0","30","In-Person",
"09","33877","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Mcnally, William"," ","0","30","In-Person",
"08","33874","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Woll, Heidi"," ","4","30","In-Person",
"07","33871","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Ward, Matthew"," ","0","30","In-Person",
"06","33868","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Rotholz, Susan"," ","1","30","In-Person",
"05","33865","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Ritt, Morey"," ","0","30","In-Person",
"04","33862","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Crouse, Rose-Marie"," ","0","30","In-Person",
"28","33933","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Bruskin, Julia"," ","0","30","In-Person",
"02","33856","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Aomori, Yoshio"," ","0","30","In-Person",
"01","33853","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Andrade, Andrew"," ","0","30","In-Person",
"31","33847","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Lipsey, Michael"," ","0","30","In-Person",
"30","33841","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Stute, Caroline"," ","0","30","In-Person",
"29","33832","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Avitsur, Haim"," ","0","30","In-Person",
"32","52662","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Neidich, Charles"," ","0","30","In-Person",
"33","55664","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Krekeler, Daniel"," ","1","30","In-Person",
"03","33859","MUSIC 187 (.5, 1)","Indiv Stdy Prfrmnce I","&nbsp;"," - ","Argyros, Maria"," ","2","30","In-Person",
